Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,46800,47050,46000,46100,43474.44922,6856846
2019-07-30,46300,46850,46300,46550,43898.82422,5551014
2019-07-31,46200,46600,45000,45350,42767.16406,12872916
2019-08-01,44900,45500,44850,45200,42625.71094,7811181
2019-08-02,44550,45500,44300,44950,42389.94531,12151374
2019-08-05,44350,44600,43600,43950,41446.90234,14214086
2019-08-06,42500,43800,42500,43500,41022.52734,15083824
2019-08-07,43600,43900,43100,43200,40739.61328,10002533
2019-08-08,43250,43500,42650,42650,40220.9375,16926881
2019-08-09,43250,43350,43050,43150,40692.46484,9685147
2019-08-12,44000,44000,43550,43700,41211.13672,8466169
2019-08-13,43500,43500,42950,43000,40551.00391,7276979
2019-08-14,43900,44250,43500,43700,41211.13672,8750135
2019-08-16,43800,43900,43300,43900,41399.74609,9528115
2019-08-19,44350,44350,43500,43600,41116.83203,6014218
2019-08-20,43950,44600,43550,44450,41918.42969,8434205
2019-08-21,44350,44800,44150,44500,41965.57031,6571717
2019-08-22,44500,44700,43850,44050,41541.20703,8061177
2019-08-23,43800,44200,43650,43950,41446.90234,5017381
2019-08-26,43050,43800,42950,43600,41116.83203,7954949
2019-08-27,43650,44200,43600,44050,41541.20703,16883932
2019-08-28,44100,44400,43750,44150,41635.51172,5758333
2019-08-29,44200,44200,43050,43400,40928.22266,10768862
2019-08-30,43750,44300,43750,44000,41494.05469,9899073
2019-09-02,44850,44850,43650,43800,41305.44141,7185537
2019-09-03,43550,43650,43100,43250,40786.76953,9774941
2019-09-04,43250,44100,43150,44100,41588.35156,12441837
2019-09-05,44800,46100,44450,45700,43097.23047,18297430
2019-09-06,46500,46500,45850,46300,43663.05859,9896562
2019-09-09,46450,47000,46300,46900,44228.89063,9434157
2019-09-10,47100,47200,46550,47000,44323.19141,9231792
2019-09-11,47300,47400,46800,47150,44464.65234,16141619
2019-09-16,47000,47100,46400,47100,44417.49609,15550926
2019-09-17,47000,47100,46800,46900,44228.89063,7006280
2019-09-18,46900,47700,46800,47700,44983.32813,10413027
2019-09-19,48050,49200,47850,49150,46350.74219,16461413
2019-09-20,49400,49600,49100,49200,46397.89844,15460210
2019-09-23,49250,49300,49000,49300,46492.19531,7568553
2019-09-24,49050,49650,48850,49500,46680.80859,7871955
2019-09-25,49200,49350,48800,48900,46114.98047,9187141
2019-09-26,49000,49250,48900,49200,46397.89844,8494756
2019-09-27,48000,48700,48000,48400,45974.24609,8048041
2019-09-30,48050,49250,47900,49050,46591.66797,9497119
2019-10-01,48900,49100,48650,48850,46401.69141,6206035
2019-10-02,48350,48400,47600,47600,45214.34375,8382463
2019-10-04,47400,48650,47350,48000,45594.29297,9331695
2019-10-07,48350,48700,47650,47750,45356.82031,7047273
2019-10-08,47900,49000,47600,48900,46449.1875,14239367
2019-10-10,48200,49200,48000,48550,46116.72656,18639855
2019-10-11,49000,49450,48800,49150,46686.65625,7783275
2019-10-14,50000,50300,49850,50000,47494.05859,11130635
2019-10-15,49900,50200,49900,50100,47589.04297,6058105
2019-10-16,50700,50900,50400,50700,48158.97266,9136282
2019-10-17,50500,50600,50100,50500,47969,6701380
2019-10-18,50300,50900,49650,49900,47399.06641,8483106
2019-10-21,49900,50400,49800,50300,47779.01953,4406531
2019-10-22,50800,51500,50700,51200,48633.91016,10898729
2019-10-23,51300,51500,50800,51200,48633.91016,8663880
2019-10-24,52500,52500,50500,50700,48158.97266,21185785
2019-10-25,50800,51200,50500,50900,48348.94922,7879897
2019-10-28,50700,51500,50700,51300,48728.90234,6431522
2019-10-29,51400,51700,50800,51100,48538.92578,7581629
2019-10-30,50700,50800,50200,50400,47874.00781,8959435
2019-10-31,51000,51400,50300,50400,47874.00781,10304777
2019-11-01,50600,51200,50400,51200,48633.91016,8467846
2019-11-04,51700,52300,51400,52300,49678.78125,13012411
2019-11-05,52400,52700,52100,52700,50058.73438,10581034
2019-11-06,52900,53500,52700,53300,50628.66406,14361133
2019-11-07,53400,53400,52400,52900,50248.71094,9257116
2019-11-08,53200,53300,52000,52100,49488.80859,11603290
2019-11-11,52200,52200,51400,51600,49013.86328,8185952
2019-11-12,51800,52600,51600,52600,49963.74609,6576148
2019-11-13,52500,52500,52000,52500,49868.75781,6225196
2019-11-14,52500,52500,52000,52500,49868.75781,6225196
2019-11-15,52900,53700,52600,53700,51008.62109,9703360
2019-11-18,53600,53800,53200,53500,50818.64063,7746554
2019-11-19,53200,53500,52700,53500,50818.64063,8907177
2019-11-20,53400,53400,52000,52000,49393.81641,12560070
2019-11-21,51600,52100,50600,51000,48443.9375,14298646
2019-11-22,51000,51600,50900,51600,49013.86328,8478310
2019-11-25,52200,52600,51700,51800,49203.84375,9050625
2019-11-26,51900,52900,51800,51800,49203.84375,27372226
2019-11-27,51800,52300,51600,52200,49583.79297,7546261
2019-11-28,51900,52100,51300,51300,48728.90234,6833885
2019-11-29,51200,51400,50200,50300,47779.01953,11179334
2019-12-02,50900,51300,50400,50400,47874.00781,18877252
2019-12-03,49800,50300,49500,49900,47399.06641,12059812
2019-12-04,49600,49850,49000,49450,46971.62109,13246549
2019-12-05,50200,50400,49500,49500,47019.11719,10449715
2019-12-06,50100,50900,49950,50400,47874.00781,11414563
2019-12-09,50900,51400,50700,51200,48633.91016,8470627
2019-12-10,51000,51600,50700,51500,48918.87891,6882771
2019-12-11,51500,52200,51400,51900,49298.82813,11379521
2019-12-12,53000,53300,52700,53300,50628.66406,29178697
2019-12-13,54500,54800,53900,54700,51958.5,18120261
2019-12-16,54500,54900,54300,54700,51958.5,11512405
2019-12-17,55800,56700,55400,56700,53858.26172,19358433
2019-12-18,56700,57200,56000,56300,53478.3125,15558208
2019-12-19,57000,57300,55500,56000,53193.34766,14180520
2019-12-20,56100,56500,55600,56000,53193.34766,12095519
2019-12-23,56100,56400,55100,55500,52718.40234,9839252
2019-12-24,55600,55700,54800,55000,52243.46875,11868463
2019-12-26,54700,55400,54400,55400,52623.41797,9645034
2019-12-27,55700,56900,55500,56500,54013.42578,12313056
2019-12-30,56200,56600,55700,55800,53344.23438,8356767
2020-01-02,55500,56000,55000,55200,52770.64063,12993228
2020-01-03,56000,56600,54900,55500,53057.43359,15422255
2020-01-06,54900,55600,54600,55500,53057.43359,10278951
2020-01-07,55700,56400,55600,55800,53344.23438,10009778
2020-01-08,56200,57400,55900,56800,54300.21875,23501171
2020-01-09,58400,58600,57400,58600,56021.00391,24102579
2020-01-10,58800,59700,58300,59500,56881.39063,16000170
2020-01-13,59600,60000,59100,60000,57359.39063,11359139
2020-01-14,60400,61000,59900,60000,57359.39063,16906295
2020-01-15,59500,59600,58900,59000,56403.39844,14300928
2020-01-16,59100,60700,59000,60700,58028.57813,14381774
2020-01-17,61900,62000,61000,61300,58602.17969,16025661
2020-01-20,62000,62800,61700,62400,59653.76563,12528855
2020-01-21,62000,62400,61200,61400,58697.77734,11142693
2020-01-22,60500,62600,60400,62300,59558.16797,15339565
2020-01-23,61800,61800,60700,60800,58124.17969,14916555
2020-01-28,59400,59400,58300,58800,56212.19922,23664541
2020-01-29,59100,59700,58800,59100,56499,16446102
2020-01-30,58800,58800,56800,57200,54682.61719,20821939
2020-01-31,57800,58400,56400,56400,53917.82813,19749457
2020-02-03,55500,57400,55200,57200,54682.61719,23995260
2020-02-04,57100,59000,56800,58900,56307.80469,21800192
2020-02-05,60000,60200,58900,59500,56881.39063,19278165
2020-02-06,60100,61100,59700,61100,58410.97656,14727159
2020-02-07,61100,61200,59700,60400,57741.78516,16402493
2020-02-10,59200,59800,59100,59700,57072.58984,13107121
2020-02-11,59800,60700,59700,59900,57263.78906,11071231
2020-02-12,60300,60700,59700,60500,57837.37891,12904207
2020-02-13,61200,61600,60500,60700,58028.57813,18449775
2020-02-14,60900,61900,60200,61800,59080.17188,13276067
2020-02-17,61600,62000,61200,61500,58793.375,8740596
2020-02-18,60800,60900,59700,59800,57168.19141,16674266
2020-02-19,59800,60400,59400,60200,57550.58984,12951496
2020-02-20,60700,61300,59600,60000,57359.39063,14591924
2020-02-21,58800,59800,58500,59200,56594.59375,13777393
2020-02-24,57400,58100,56800,56800,54300.21875,25627537
2020-02-25,56200,58000,56200,57900,55351.80859,23885408
2020-02-26,56000,57000,56000,56500,54013.42578,25483102
2020-02-27,56300,56900,55500,55900,53439.83203,23209541
2020-02-28,55000,55500,54200,54200,51814.64844,30054227
2020-03-02,54300,55500,53600,55000,52579.44531,30403412
2020-03-03,56700,56900,55100,55400,52961.83984,30330295
2020-03-04,54800,57600,54600,57400,54873.81641,24765728
2020-03-05,57600,58000,56700,57800,55256.21094,21698990
2020-03-06,56500,57200,56200,56500,54013.42578,18716656
2020-03-09,56500,56500,56500,56500,54013.42578,0
2020-03-10,53800,54900,53700,54600,52197.04688,32106554
2020-03-11,54300,54400,52000,52100,49807.07031,45707281
2020-03-12,52100,52100,52100,52100,49807.07031,0
2020-03-13,47450,51600,46850,49950,47751.69141,59462933
2020-03-16,50100,50900,48800,48900,46747.90234,33339821
2020-03-17,46900,49650,46700,47300,45218.32031,51218151
2020-03-18,47750,48350,45600,45600,43593.13672,40152623
2020-03-19,46400,46650,42300,42950,41059.75781,56925513
2020-03-20,44150,45500,43550,45400,43401.9375,49730008
2020-03-23,42600,43550,42400,42500,40629.57031,41701626
2020-03-24,43850,46950,43050,46950,44883.72266,49801908
2020-03-25,48950,49600,47150,48650,46508.90625,52735922
2020-03-26,49000,49300,47700,47800,45696.31641,42185129
2020-03-27,49600,49700,46850,48300,46174.3125,39896178
2020-03-30,47050,48350,46550,47850,46081.85547,26797395
2020-03-31,48000,48500,47150,47750,45985.54688,30654261
2020-04-01,47450,47900,45800,45800,44107.60547,27259532
2020-04-02,46200,46850,45350,46800,45070.65625,21621076
2020-04-03,47400,47600,46550,47000,45263.26563,22784682
2020-04-06,47500,48800,47250,48700,46900.44531,23395726
2020-04-07,49650,50200,49000,49600,47767.19141,31524034
2020-04-08,49600,49750,48600,48600,46804.14063,25010314
2020-04-09,49750,49800,48700,49100,47285.66406,22628058
2020-04-10,48950,49250,48650,49250,47430.12109,17839111
2020-04-13,48650,48900,48300,48300,46515.23047,14431800
2020-04-14,48800,49200,48300,49000,47189.35938,14206216
2020-04-16,49350,49350,48550,49000,47189.35938,23349760
2020-04-17,50800,52000,50300,51400,49500.67188,32041675
2020-04-20,51400,51400,50000,50100,48248.71094,21866354
2020-04-21,49400,49700,48700,49250,47430.12109,27407543
2020-04-22,48700,50000,48350,49850,48007.95313,18613864
2020-04-23,50200,50300,49500,49850,48007.95313,18754442
2020-04-24,49650,49750,49000,49350,47526.42578,15618347
2020-04-27,49350,50000,49100,49850,48007.95313,14049471
2020-04-28,49850,50100,49300,50100,48248.71094,16095399
2020-04-29,49900,50500,49600,50000,48152.41016,15604533
